bin left,bin right,bin mean,tau_T=0.1 P(l),tau_T=0.1 stdv P(l),tau_T=1.0 P(l),tau_T=1.0 stdv P(l),tau_T=2.0 P(l),tau_T=2.0 stdv P(l),tau_T=5.0 P(l),tau_T=5.0 stdv P(l),tau_T=10.0 P(l),tau_T=10.0 stdv P(l),tau_T=20.0 P(l),tau_T=20.0 stdv P(l),tau_T=50.0 P(l),tau_T=50.0 stdv P(l),tau_T=100.0 P(l),tau_T=100.0 stdv P(l),tau_T=500.0 P(l),tau_T=500.0 stdv P(l),tau_T=1000.0 P(l),tau_T=1000.0 stdv P(l)
0.005,0.006,0.0055,4.666666666666668e-5,3.912625969257558e-5,0.01828,0.001123838220420987,0.015396666666666666,0.0007122300224915198,0.010339999999999998,0.0010855731830708,0.012313334621889337,0.001230596936742822,0.026448160677913404,0.003507461702016095,0.07615002802253744,0.007848331873525512,0.10235015093376898,0.038719408680880536,0.12250341917069893,0.015502339065551892,0.10233003136849764,0.019276617512646373
0.006,0.007,0.006500000000000001,0.00010333333333333334,4.567734398020992e-5,0.018146666666666665,0.0008378691373705233,0.01637,0.0009454830890105536,0.011236666666666666,0.0013565069521057056,0.015350001742333943,0.002429614563039477,0.031807422345817155,0.005321155322283011,0.0761833624468446,0.005851274017278555,0.0815667847100613,0.027577992074455465,0.11030007957880043,0.009148016316303824,0.09084002811238075,0.014617098282687807
0.007,0.008,0.0075,0.00014333333333333337,8.613798863695247e-5,0.017926666666666667,0.0007663928657623046,0.01684,0.0008324884606029312,0.012183333333333332,0.002059980222846452,0.015556668499667317,0.0027412743191699653,0.027755568858902162,0.005344367836869265,0.055533354381417065,0.005656049447541886,0.061004253661077736,0.014905033592007455,0.09827340423145202,0.006080978343038047,0.08165669166681956,0.01128295622564759
0.008,0.009,0.0085,0.00015333333333333345,5.018484351393877e-5,0.01874333333333335,0.0008628190946678554,0.017853333333333353,0.0008879439421745303,0.012753333333333344,0.0017636382149087222,0.014833335104111755,0.0020769172425507635,0.023155566528158877,0.003068436639377677,0.044533349855716615,0.005051778561553691,0.053875077931470644,0.009337355636295246,0.09596006898778252,0.005629374625263819,0.08082669146270838,0.0092261634860064
0.009,0.01,0.0095,0.0001733333333333332,7.503085784948496e-5,0.019353333333333316,0.0007025878091951414,0.018863333333333315,0.0008933844650927925,0.01397333333333332,0.0018640060403653505,0.014110001597889443,0.001729058569214405,0.019300008922107537,0.001701471283193851,0.03580834736043554,0.002375174107213403,0.04921257102742456,0.007245651828287714,0.09574006982989451,0.004424810693515591,0.07858668997859453,0.007142916873401348
0.01,0.02,0.015,0.00014633333333333336,2.3646052576891896e-5,0.022782,0.00017770970919097509,0.02452033333333333,0.00027649682426234196,0.01933666666666667,0.0014312327415531782,0.017310668615467355,0.0012333218574620219,0.019472971902243272,0.00124108247065565,0.031135429208530623,0.0012551906285048382,0.04526214665517574,0.00211412112053461,0.09818040591679995,0.003666292927283332,0.08352935875654247,0.005574715668469681
0.02,0.03,0.025,0.00022533333333333338,2.34231077209802e-5,0.03234866666666667,0.00027629023923457085,0.04175466666666668,0.0004157699981456389,0.037969,0.0019610252105832834,0.033636670413468,0.001615892866912976,0.031983718319026674,0.0013537682409201378,0.03918418257082684,0.0012987643390961006,0.05275049111941513,0.0017427349416573035,0.1140147510958645,0.003840386674093133,0.0971873635982057,0.006979547340205353
0.03,0.04,0.035,0.00029933333333333325,2.5229807963528834e-5,0.04116266666666666,0.0009349414717272715,0.06345366666666666,0.0003863071444803262,0.06699733333333333,0.0013230033173721734,0.06173067349620241,0.0012859065183973898,0.05592891453559304,0.001619691042558052,0.05711752378404587,0.0008483321677731406,0.0660280104323032,0.0024914816144324314,0.11904175502999378,0.0029022775586491343,0.09814402958860405,0.007196722533254124
0.04,0.05,0.045,0.0003666666666666666,3.1700761372638016e-5,0.05210566666666666,0.0011140395298525414,0.09004733333333333,0.0004431698389701592,0.10992133333333332,0.0006340234057291134,0.10955767874832652,0.0006055322191115166,0.10303893619578727,0.000637973887595071,0.09589503972320619,0.0008916946970782489,0.09546013462683334,0.00112151487905276,0.11524508578456735,0.002049863496627509,0.0839136913963179,0.004642702436760499
0.05,0.06,0.055,0.0004806666666666669,2.518082750971609e-5,0.06966666666666671,0.0016308726740651305,0.1262290000000001,0.0007412869190106471,0.16737800000000008,0.0008374877187232964,0.1824156867750295,0.0010435578329472293,0.19002230956746888,0.001607092299700811,0.1965471643517201,0.0013285085603257744,0.20256361810398754,0.001083268102349986,0.20927282270934128,0.002731875092241806,0.1745373838257826,0.003912298760596685
