t,Delta T=0.05 C_vv(t),Delta T=0.05 stdv C_vv(t),Delta T=0.1 C_vv(t),Delta T=0.1 stdv C_vv(t),Delta T=0.15 C_vv(t),Delta T=0.15 stdv C_vv(t),Delta T=0.2 C_vv(t),Delta T=0.2 stdv C_vv(t),Delta T=0.225 C_vv(t),Delta T=0.225 stdv C_vv(t),Delta T=0.25 C_vv(t),Delta T=0.25 stdv C_vv(t),Delta T=0.3 C_vv(t),Delta T=0.3 stdv C_vv(t)
380.0,-0.0030830837364302574,0.0023695588592322365,-0.0025384920548925166,0.0037514214004375304,-0.0025202425124957835,0.0037477113095504117,0.0005065287745352649,0.003218286012445864,-0.0003302052387169605,0.002437708718593119,0.0017752442455408906,0.00422379064001199,0.00021910512564034772,0.0023835281412285547
385.0,-0.001762647462293096,0.0021695759262714766,-0.001692840468217157,0.002508500086403436,-0.0020202835288986275,0.003717217300995032,9.893056650891325e-6,0.0019081956897329302,-0.0003819582939967787,0.002437743542939611,0.000354305680410875,0.00232385333636356,-0.0012049092066826017,0.0029902449386593677
390.0,-0.003966805238312365,0.0026937269826419934,-0.0018803773844753159,0.0023888405981313016,-0.0021989391721038178,0.003019998985295631,-0.0005104959061140093,0.003737688894776626,-0.0004724797099408969,0.0017794595739154895,0.0006190852921738264,0.0028662436382240913,-8.186081623652416e-5,0.003004364119104953
395.0,-0.0042150867024835816,0.004562492397993048,-0.004381080203912787,0.002390521114856569,-0.0034238360353694916,0.003455985516822033,0.0012183373517228031,0.0032244922806067677,0.00027165098462450375,0.0023963814246706345,0.00108380453181695,0.0027576114801137097,-0.001045641996926062,0.0029341158850855332
400.0,-0.005382362999001623,0.0027565007708301517,-0.0028327324540664087,0.0029288073493141643,-0.0016028702226243041,0.0028288566132930407,-0.00030025725237056266,0.0023510138754596938,0.0011198803259182188,0.004810487224334591,0.0014099329780558208,0.004115588021940045,-0.0011693602202043278,0.0033185219691499557
405.0,-0.004461278199456463,0.0021225728981552863,-0.0015343111754818758,0.00294974552166696,-0.001593991924836872,0.003098237036453485,0.0005448420718750664,0.002521346715733416,-0.0005447261096307202,0.0037361590401064253,0.0019278542359184932,0.0038809076313098463,-0.0011677619936663938,0.0024413844296856803
410.0,-0.004454789336287212,0.002759669048971787,-0.0027537330037330143,0.001921905544594907,-0.0019100282923446704,0.002239982088855361,7.535284093715356e-5,0.0026624840117489127,-0.0010154492440834517,0.004356030490414865,0.0014903247385381682,0.003551924645866979,0.00011101908243828934,0.0034264934759046643
415.0,-0.0035212675497333554,0.0031887030115666354,-0.005046300392760603,0.0029020045429216717,-0.0011498876566080562,0.0029618974707571314,0.0008608087261458378,0.0029305449560468426,-0.00035936338571455494,0.003235263400165735,0.0009138538900514981,0.0029138762919463028,0.000108622199359646,0.0024605752032511303
420.0,-0.0034752105071656223,0.0033743075214398054,-0.0038998901924948855,0.0033711791125990115,-0.0006864649323486209,0.002526070670964505,0.001011529918058583,0.002749168279421537,0.0004658845306528693,0.0030883567192401297,0.0007491739056590414,0.0027704121111712865,-0.0001701216898808673,0.0020308661216680533
425.0,-0.003069284286668546,0.0025047632474617275,-0.004308672075825744,0.0027861702677324973,-0.002022203708204679,0.004452814617692951,0.001152532457206189,0.003239876206165869,-4.310634623593088e-6,0.002788671155708988,0.0012554978564314524,0.0023031626590675636,0.001898635213544583,0.001831747021876154
430.0,-0.004188493938457542,0.0022262844924815345,-0.003536415073155493,0.002639130624703936,-0.001927593863587425,0.0032460971897448183,0.001240333815456028,0.0024605819378238367,0.0005349766428847768,0.00223159611656445,0.0017649007080175103,0.0019569618486622383,0.0009843408906362375,0.002386582488495715
